Species,Population,fishID,WhiteCenter,LatencyWhiteCenter,WhiteThigmo,LatencyWhiteThigmo,LatencyWhite,TimeinWhite,BlackCenter,LatencyBlackCenter,BlackThigmo,LatencyBlackThigmo,TotalBlack,LatencytoBlack,Distance_moved
G. vittata,Rio Choy,Acuff-Rose,542.926,52.8618,56.0969,0,0,599.023,0,-,0,-,0,-,477.954
G. vittata,Rio Choy,Candyman,73.203,22.6549,69.4661,198.923,22.6549,142.669,359.042,0,97.2593,129.19,456.301,0,1036.24
G. vittata,Rio Choy,Ananais,33.8863,379.887,38.8225,0,0,72.7089,314.583,31.3849,167.564,29.784,482.147,29.784,611.614
G. vittata,Rio Choy,StellaBlue,0,-,0,-,-,0,139.095,0,459.837,9.33747,598.932,0,111.753
G. vittata,Rio Choy,Lovelight,5.70454,433.078,0,-,433.078,5.70454,372.563,25.2868,220.742,0,593.306,0,399.162
G. vittata,Rio Choy,Wharf Rat,456.204,0,142.818,62.8372,0,599.022,0,-,0,-,0,-,516.507
G. vittata,Rio Choy,Viola Lee,97.781,266.297,5.10249,273.133,266.297,102.884,480.768,0,15.2408,9.23784,496.009,0,1438.17
G. vittata,Rio Choy,TomDooley,487.753,31.8854,111.265,0,0,599.018,0,-,0,-,0,-,716.267
G. vittata,Rio Choy,Delilah,599.021,0,0,-,0,599.021,0,-,0,-,0,-,215.557
G. vittata,Rio Choy,Sadie,5.53944,199.553,59.4655,147.93,147.93,65.005,165.916,54.8938,356.159,0,522.075,0,574.595
G. vittata,Rio Choy,Rosie,8.40407,0,0,-,0,8.40407,40.4529,8.40407,550.167,10.6051,590.62,8.40407,145.464
G. vittata,Rio Choy,MattyGroves,52.9924,44.4215,115.556,0,0,168.548,75.9702,22.8778,335.396,8.83762,411.366,8.83762,1125.84
G. vittata,Rio Choy,Donna,28.3472,193.628,18.2422,49.5242,49.5242,46.5894,235.015,11.539,317.355,0,552.369,0,832.085
