Species,fishID,tube.removed.raw,tube.removed,enter1,enter.reward.raw,enter.reward,move.alley,time.glass.raw,time.glass,time.reward,solve.time,solve_detour,body.length
G. vittata,Acuff-Rose,0:18,18.00,3:13,2:55,175.00,Y,1:31,91.00,0:11,84.00,Yes,3.083
G. vittata,Ananais,0:07,7.00,NA,NA,NA,N,NA,NA,NA,#VALUE!,No,3.059
G. vittata,Aurum,0:07,7.00,5:24,5:17,317.00,Y,0:31,24.00,2:38,293.00,Yes,2.646
G. vittata,Beech,0:08,8.00,1:41,1:33,93.00,Y,1:32,84.00,1:06,9.00,Yes,3.097
G. vittata,Canary,0:07,7.00,3:27,3:20,213.00,Y,0:46,39.00,3:38,174.00,Yes,3.209
G. vittata,Candyman,0:09,9.00,7:25,7:16,445.00,Y,0:10,1.00,2:38,444.00,Yes,2.753
G. vittata,Delilah,0:05,5.00,NA,NA,NA,Y,NA,NA,NA,#VALUE!,No,2.861
G. vittata,FireontheMountain,0:11,11.00,2:20,2:09,129.00,Y,2:14,123.00,3:54,6.00,Yes,2.679
G. vittata,Geld,0:08,8.00,4:46,4:38,278.00,Y,3:19,191.00,1:05,87.00,Yes,3.208
G. vittata,Goldilocks,0:07,7.00,NA,NA,NA,Y,0:25,18.00,NA,#VALUE!,No,3.451
G. vittata,Hemlock,0:06,6.00,1:34,1:28,88.00,Y,1:13,67.00,1:18,21.00,Yes,3.304
G. vittata,Lovelight,0:07,7.00,7:53,7:46,466.00,Y,0:54,47.00,1:56,419.00,Yes,3.351
G. vittata,Magma,0:10,10.00,2:58,2:48,168.00,Y,2:46,156.00,2:16,12.00,Yes,3.270
G. vittata,Mesquite,0:10,10.00,1:07,0:57,57.00,Y,0:18,8.00,6:22,49.00,Yes,2.738
G. vittata,Persimmon,0:08,8.00,NA,NA,NA,Y,1:10,62.00,NA,#VALUE!,No,2.314
G. vittata,Rhododendron,0:09,9.00,NA,NA,NA,y,1:29,80.00,NA,#VALUE!,No,2.681
G. vittata,Ruby,0:08,8.00,4:11,4:03,243.00,Y,0:37,29.00,1:02,214.00,Yes,3.096
G. vittata,Samson,0:06,6.00,2:41,2:35,155.00,Y,2:20,134.00,0:05,21.00,Yes,NA
G. vittata,Scarlet,0:13,13.00,3:15,3:02,183.00,Y,1:35,82.00,2:12,101.00,Yes,3.178
G. vittata,StellaBlue,0:06,6.00,5:05,4:59,299.00,Y,1:46,100.00,2:30,199.00,Yes,2.95
G. vittata,Tamarack,0:07,7.00,2:30,2:23,143.00,Y,1:26,79.00,3:40,64.00,Yes,3.189
G. vittata,TomDooley,0:08,8.00,7:28,7:20,420.33,Y,3:29,201.00,0:48,219.33,Yes,3.626
G. vittata,Vermilion,0:11,11.00,1:04,0:53,53.00,Y,0:15,4.00,2:32,49.00,Yes,3.084
G. vittata,ViolaLee,0:06,6.00,2:30,2:24,144.00,Y,0:29,23.00,5:49,121.00,Yes,2.842
G. vittata,WharfRat,0:07,7.00,NA,NA,NA,Y,2:46,159.00,NA,#VALUE!,No,2.971
L. perugiae,Abilene,0:11,11.00,NA,NA,NA,Y,1:48,97.00,NA,#VALUE!,No,4.297
L. perugiae,Atascosa,0:06,6.00,1:27,1:21,95.00,Y,1:06,60.00,NA,35.00,Yes,4.068
L. perugiae,Billy,0:06,6.00,6:27,6:21,381.00,Y,2:46,160.00,NA,221.00,Yes,2.552
L. perugiae,Bobby,0:06,6.00,NA,NA,NA,Y,2:32,146.00,NA,#VALUE!,No,3.011
L. perugiae,BobbyMcGee,0:10,10.00,4:20,4:10,250.00,Y,3:06,176.00,NA,74.00,Yes,4.071
L. perugiae,CaseyJones,0:08,8.00,6:38,6:30,390.00,Y,6:33,385.00,NA,5.00,Yes,4.09
L. perugiae,Delia,0:13,13.00,Na,NA,NA,N,NA,NA,NA,#VALUE!,No,3.808
L. perugiae,EasyWind,0:07,7.00,5:23,5:16,316.00,Y,5:01,294.00,NA,22.00,Yes,4.021
